Sample Name,Raman peak area of blanks,Total blank1 RU,Total Blank2 RU,Total sample RU after blank subtraction,Position in final database,M:C,BIX,HIX,FI,Ultra Violet Humic-like,Marine Humic-like,Visible Humic-like,Tryptophan-like,Tyrosine-like,Phenylalanine-like,Fulvic Acid-like,Optical Brighteners,Diesel Band II,Petroleum-like,Lignin-like,PARAFAC1,PARAFAC2,PARAFAC3,PARAFAC4,PARAFAC5,PARAFAC6
C01_H_D_3_30_1300,36874.5862436541,69.3424143555338,74.9856848168881,49.1227882908152,58,1.28885731189586,0.762018877018882,0.963141165323268,1.60909047124086,0.0225453498760306,0.0266715301471293,0.0206939355512492,0.0522381022853024,0.0822063299776631,0.0318296439771703,0.0104830183445531,0.0166142324101471,0.00767644900874324,0.023069419222512,0.0388021457420507,0.0488674903681562,0.0416822683872178,0.0418630556919109,0.0421186800700261,0.0191377389933927,0.0488042349442815
C10_H_N_3_31_0100,36874.5862436541,69.3424143555338,74.9856848168881,48.3043217782913,59,1.14181053723081,0.878369030171246,1.06066065229845,1.66444813814949,0.0225460598906422,0.025317806740418,0.02217338684036,0.0370566031131719,0.0444321820891601,0.0223229780562251,0.0121286534529857,0.0181752459034917,0.00878405360985863,0.0248017945921536,0.0349644942197673,0.0459469860406914,0.0277246880983168,0.0460433164032984,0.0286140805316816,0.0219915550103386,0.0321784640502173
C15_H_N_3_31_0100,36874.5862436541,69.3424143555338,74.9856848168881,36.0761109269834,60,1.15129730273067,0.901577609662131,1.0939894542549,1.55669967969768,0.0136241110856886,0.0153350782282799,0.013319824681173,0.0331805959670248,0.0336918331030073,0.00573945644336391,0.00671936844208465,0.010756826813196,0.00455707840414291,0.0123108068225927,0.0348491713091153,0.0294228988077986,0.0239199922053219,0.0306216387247189,0.0263166775696599,0.012289133742449,0.0198299187858272
C_SeepG_3_30_1000,36874.5862436541,69.3424143555338,74.9856848168881,61.5305860339569,61,1.09057869164326,0.844510872140273,1.7166179600824,1.56856328474394,0.0247677539676719,0.0274141080186099,0.0251372122238177,0.0396596185854049,0.0313586826799322,0.0204523792560538,0.0129550500120301,0.0204744852762531,0.00969684572929774,0.0270563623126039,0.03608465666645,0.0511553533144221,0.0297535118839339,0.040714292814699,0.0360505440931201,0.0259477436119168,0.0181645202242437
C17_H_N_3_31_0100,36874.5862436541,69.3424143555338,74.9856848168881,46.2397167842464,62,1.16057965924015,0.963283833165466,1.51002742551037,1.59058974761644,0.0197212595502612,0.022464493258902,0.0193562700156315,0.0383084807749459,0.0384318106871946,0,0.00989427241057871,0.0153929507826521,0.00751382516053289,0.0204819485124037,0.021875451930338,0.044758049511113,0.0300913552706897,0.0375353021354845,0.0282888470109585,0.0188359624122236,0.0238086372728012
C12_L_N_3_30_1900,36874.5862436541,69.3424143555338,74.9856848168881,61.3912544155963,63,1.14033116390485,0.806312665610997,2.02530175170731,1.66565193135989,0.0237750666903862,0.026493245566935,0.0232329400489363,0.0505902961703046,0.0646125405739575,0.016842238719908,0.0113217700635539,0.0185990441041486,0.00838029533176,0.0357915207841811,0.0360767938754094,0.0561305226594852,0.0491833312610049,0.0344279503944384,0.0210661674710141,0.0261970516061353,0.0448970053345166
C16_L_D_3_30_0700,38458.8213184758,71.8967978483381,78.0301538003192,59.5163604731352,64,1.2557144953275,0.812975531242516,1.37606205441615,1.61364357491413,0.029469487251713,0.0359784154667727,0.028651748148682,0.0518122748414872,0.076107089424275,0.0276109833192264,0.0131569289086766,0.022584564945772,0.00962566586660598,0.0312431575406335,0.0556852550175982,0.0673082129636538,0.040035393368414,0.04714778169667,0.0435973253540973,0.0259687156402761,0.050291582212016
CSpringBeach_3_31_22,38458.8213184758,71.8967978483381,78.0301538003192,47.3151069678701,65,1.47518244371287,0.512978576443852,1.153538294519,1.564298274476,0.0396001616344549,0.0480374600428507,0.0325637416901098,0.028889760380251,0.0282509589095258,0.0296878863840846,0.011123750671767,0.0223356007191593,0.00832869166452657,0.0243225776925079,0.0178723277152266,0.0729911540032636,0.0189387771307108,0.036128457802036,0.00991616099393673,0.0233541148876347,0.0349883369844782
CPit_H_3_30_1900,38458.8213184758,71.8967978483381,78.0301538003192,53.2161971434076,66,1.38487323343815,0.922493633609462,0.679608738668318,1.64501850542278,0.0146376298111835,0.0195292899787084,0.0141018610997514,0.0609783368724183,0.0848532569099906,0.0419917650838106,0.00686017174530502,0.0103560308409297,0.00479676876029413,0.0177980270040657,0.0358090528964381,0.0319989769265724,0.0426377258242712,0.0427597063039347,0.0577134568628125,0.0117984245810879,0.0550691839095513
CReefcrest_B_3_29_0700,38458.8213184758,71.8967978483381,78.0301538003192,16.7717113277932,67,2.52695453172015,0.653690404528915,0.906067559853135,1.56681113572965,0.00647277577194683,0.0110936634609559,0.00439013180557871,0.00368293821958008,0.0136682503752305,0,0.00267736511633205,0.00423778410282395,0.00185246509782438,0.00546896819500816,0,0.015389674703595,0.00480472616759639,0.00920447420234371,0,0.00483190662149147,0.0121575333994836
