Site,Year,CobleA,CobleB,CobleC,CobleM,CobleT,Lignin,M_to_C,HIX,BIX,FI
166,2021,0.00758514,0.034027867,0.005909003,0.009360089,0.017108359,0,1.584038459,0.536584693,0.761386468,1.514306307
167,2021,0.010318192,0.034957046,0.008269565,0.013010006,0.020536029,0.014840601,1.573239429,0.765063374,0.683264014,1.719833132
168,2021,0.009099534,0.053339642,0.006768048,0.0115089,0.029776843,0.027068002,1.700475545,0.249665655,0.722842052,1.724283109
169,2021,0.011861386,0.037931684,0.008544308,0.015158835,0.024244122,0.021912836,1.774144124,0.555283517,0.802974976,1.653724825
170,2021,0.011725947,0.038580775,0.009914381,0.014289903,0.031749148,0.021035779,1.441330831,0.649441697,0.682663793,1.688060417
171,2021,0.010150765,0.031527109,0.009100433,0.011420885,0.029816828,0.006462346,1.254982641,0.676545344,0.954361144,1.616006145
172,2021,0.010494755,0.036287574,0.008605441,0.013599136,0.025550801,0.006130581,1.580295011,0.582348499,0.722075232,1.5893266
173,2021,0.009377376,0.023900929,0.008187976,0.011701776,0.018489332,0.007272649,1.429141411,0.642031981,0.658726864,1.699115148
175,2021,0.011607544,0.023233617,0.007854028,0.012478965,0.023783701,0.019565644,1.588861798,0.45590098,0.611407496,1.794412547
176,2021,0.01256809,0.031860308,0.010796572,0.016661581,0.025946562,0.00858303,1.543228885,0.975159418,0.882642843,1.552911484
178,2021,0.019052157,0.032723883,0.016338131,0.021455181,0.030499304,0.021389041,1.313196745,0.968348187,0.681051506,1.616541945
179,2021,0.013420971,0.045536066,0.009925187,0.015659561,0.032465343,0,1.57775982,0.573486812,0.708893761,1.697564544
180,2021,0.010691714,0.032797747,0.009606123,0.014232801,0.031910075,0,1.481638436,0.602969268,0.724812313,1.601756954
181,2021,0.008517397,0.03739929,0.007044739,0.011332673,0.029965531,0.00509469,1.608671922,0.547882452,0.841026373,1.70301357
182,2021,0.00972622,0.024753996,0.008273557,0.014468264,0.029426924,0.019262387,1.748735587,0.514192995,1.051363978,1.904069208
183,2021,0.00747781,0.030464971,0.005810594,0.009568568,0.020083307,0.013387538,1.64674528,0.387983317,0.602003853,1.630447427
184,2021,0.007990546,0.044779711,0.006453274,0.010881297,0.033079959,0.01444495,1.686166777,0.358411819,0.674991588,1.809671429
185,2021,0.008368242,0.043985567,0.006303393,0.009910973,0.025884305,0.001145401,1.572323549,0.391281325,0.657023398,1.665744505
186,2021,0.007923154,0.025485416,0.006631591,0.009649287,0.015661555,0,1.455048605,0.736678734,0.737276827,1.78407362
187,2021,0.007746904,0.035650286,0.006197488,0.009327791,0.017834654,0.003236042,1.505092197,0.54937931,0.725181583,2.061647662
188,2021,0.007013839,0.041861066,0.005091882,0.008154307,0.016508178,0.014282134,1.601432822,0.601306693,0.72556576,1.973329535
200,2021,0.009335241,0.036822628,0.007870711,0.011828299,0.024475625,0.012265648,1.50282462,0.472758771,0.648541144,1.657000342
201,2021,0.010285992,0.043407802,0.007745701,0.012365171,0.037832974,0.020430063,1.596391413,0.474544407,0.768916004,1.598324612
202,2021,0.014047206,0.034982141,0.012418691,0.016005601,0.029598742,0.017290069,1.288831514,0.937139882,0.738240384,1.530796373
203,2021,0.023516075,0.037974858,0.019166652,0.024848581,0.041307133,0.051357099,1.296448666,0.554736815,0.732155303,1.702344088
204,2021,0.021742455,0.065132919,0.020045375,0.026021676,0.058454478,0.027102327,1.298138673,0.902932925,0.925946402,1.72463562
205,2021,0.018826395,0.04190125,0.016750324,0.020155132,0.037150231,0.025691159,1.203268164,0.914133944,0.687160685,1.542916547
