Site,Year,TimePeriod,dN15,Percent_N,Percent_C,C_to_N_ratio,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Date,Time,Latitude,Longitude,Distsance.to.crest,Distance_to_shore,Distance_to_pass,Distance_to_deep_lagoon_water,Distance_to_population_center,Population_center,Island_shore,Habitat,Lagoon
171,2019,2019-July,NA,0.4817,NA,NA,NA,NA,NA,NA,NA,NA,-17.47496934,-149.7901163,320.84,447.41,801.31,819.81,868.66,Maharepa,N,Mid lagoon,Maharepa
175,2019,2019-July,NA,0.5897,NA,NA,NA,NA,NA,NA,NA,NA,-17.48082167,-149.8048369,802.19,46.51,843.69,11.47,46.51,Maharepa,N,Fringing reef,Paraoro
181,2019,2019-July,NA,0.5925,NA,NA,NA,NA,NA,NA,NA,NA,-17.47477999,-149.8148865,148.15,968.79,927.95,808.03,968.79,Maharepa,N,Reef crest,Paraoro
185,2019,2019-July,NA,0.5676,NA,NA,NA,NA,NA,NA,NA,NA,-17.47691201,-149.8066267,370.37,469.56,745.12,345.02,469.56,Maharepa,N,Mid lagoon,Paraoro
187,2019,2019-July,NA,0.5488,NA,NA,NA,NA,NA,NA,NA,NA,-17.47899399,-149.8063396,598.16,249.9,824.04,181.1,249.9,Maharepa,N,Mid lagoon,Paraoro
LTER_1_Backreef,2019,2019-July,NA,0.5769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTER_1_Fringe,2019,2019-July,NA,0.6782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTER_2_Backreef,2019,2019-July,NA,0.6731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTER_2_Fringe,2019,2019-July,NA,0.6879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTER_3_Backreef,2019,2019-July,NA,0.5974,NA,NA,NA,NA,NA,NA,NA,NA,-17.5138,-149.76415,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTER_3_Fringe,2019,2019-July,NA,0.7122,NA,NA,NA,NA,NA,NA,NA,NA,-17.51305,-149.76688,NA,NA,NA,NA,NA,NA,NA,Fringing reef,NA
LTER_4_Backreef,2019,2019-July,NA,0.5489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
